ID,inchikey,smiles
cpd00079,NBSCHQHZLSJFNQ-GASJEMHNSA-L,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00080,AWUCVROLDVIAJX-GSVOUGTGSA-L,O=P([O-])([O-])OC[C@H](O)CO
cpd00081,LSNNMFCWUKXFEE-UHFFFAOYSA-M,O=S([O-])O
cpd00082,RFSUNEUAIZKAJO-VRPWFDPXSA-N,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00082,RFSUNEUAIZKAJO-VRPWFDPXSA-N,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00082,RFSUNEUAIZKAJO-VRPWFDPXSA-N,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00083,MVMSCBBUIHUTGJ-WONUKNIPSA-L,Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00084,XUJNEKJLAYXESH-REOHCLBHSA-N,[NH3+][C@@H](CS)C(=O)[O-]
cpd00084,XUJNEKJLAYXESH-REOHCLBHSA-N,[NH3+][C@@H](CS)C(=O)[O-]
cpd00084,XUJNEKJLAYXESH-REOHCLBHSA-N,[NH3+][C@@H](CS)C(=O)[O-]
cpd00085,UCMIRNVEIXFBKS-UHFFFAOYSA-N,[NH3+]CCC(=O)[O-]
cpd00086,QAQREVBBADEHPA-IEXPHMLFSA-J,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00087,MSTNYGQPCMXVAQ-RYUDHWBXSA-L,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
cpd00089,HXXFSFRBOHSIMQ-VFUOTHLCSA-L,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
cpd00090,JPXZQMKKFWMMGK-KQYNXXCUSA-L,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00091,DJJCXFVJDGTHFX-XVFCMESISA-L,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
